id,checksum,finished_at,migration_name,logs,rolled_back_at,started_at,applied_steps_count
0a1e1231-6577-4ef7-a69f-310a84e12fb1,7c00a9b7081d29f4869bdc88de4cbca020b55670a211fc49d4acdd982fcd731b,2025-12-17 06:04:28.022705+00,20251013135154_init,,,2025-12-17 06:04:27.903033+00,1
0fb96282-fc72-4570-872d-75ad9e24b9f2,24f202b75f9a64d544a76026b07ff1a68ba6786bca69fc82742ed49a9a10da66,2025-12-17 06:04:29.36914+00,20251113175413_add_multiple_expenses_to_timesheet,,,2025-12-17 06:04:29.325569+00,1
72c3d692-2e59-470c-a015-250419fd596a,0a6e6a338f04c28d9f496064a1acdc8eb336d016342d19c3705ee76cf352841e,2025-12-17 06:04:28.135846+00,20251020143443_clients_and_contacts,,,2025-12-17 06:04:28.033368+00,1
a9012d7d-0c24-42af-b68b-fd55554605e3,3eb3dd5692d35f71c2d4acb6b08562030cf5f93910b8c28c43802e4e6e058ce6,2025-12-17 06:04:28.240757+00,20251022143521_matter_mnt_models,,,2025-12-17 06:04:28.147803+00,1
a89c282d-235f-45b1-857c-23f392ffcd48,fd434de6aea48c6aa01357f32b4e15232dc679944b3feb954edb49698b955ddf,2025-12-17 07:27:16.285825+00,20251217072716_rate_range_and_multiple_service_types_for_matterusers,,,2025-12-17 07:27:16.15418+00,1
5e360994-e666-4424-af7b-ca3c5154e43d,1a528d03730e98cb551402e0ea59d661128394c121ac4f0800687d2be6ec915e,2025-12-17 06:04:28.32173+00,20251023083115_update_client_and_contact_model,,,2025-12-17 06:04:28.251971+00,1
2c7d213d-b347-4d08-bed2-720f356956a9,d1589cbed422a39775a7d4f8e4d74b2f3a0c2d34c0a34144a90eb9438f454117,2025-12-17 06:04:29.422563+00,20251117113023_add_azure_integration,,,2025-12-17 06:04:29.380915+00,1
e2ee8c3a-097a-438c-971b-376548941565,24e0d628666bb5d8cbb27ccb7476a0c2f3471ccfd5e2675865a878979edecd4c,2025-12-17 06:04:28.386313+00,20251024074301_timesheets,,,2025-12-17 06:04:28.334229+00,1
25ac7454-ce49-4463-b12c-3883cdd5678d,4116a99634d541b11db03e46d014336b4f2acc3306ba16fd9522d44c18c080e7,2025-12-17 06:04:28.482323+00,20251024122840_user_invitations,,,2025-12-17 06:04:28.408923+00,1
38cb9b82-1e90-4a32-915e-5072f5761a8f,93454e069a08eca048d2110072d5539e1b2e7cc818eea462bbf096a1e7edba23,2025-12-17 06:04:28.539763+00,20251027094633_matteruser_update_leaves,,,2025-12-17 06:04:28.493483+00,1
b4d7835f-b84b-4cad-a812-188fe2f9a290,7a3fee09bd23ab8a6b9199f4262df8aebfb138fe4663c3754962a51a3cd4e70f,2025-12-17 06:04:29.507996+00,20251121102124_user_activities,,,2025-12-17 06:04:29.432778+00,1
544059cc-0f75-4c8e-9b79-e3ac7594e8ef,11f6ce286ad20fd5c6eb1ff768055e063da38a2de7a37e001fe80c116219e4dc,2025-12-17 06:04:28.625677+00,20251103085747_billing_and_invoices,,,2025-12-17 06:04:28.550861+00,1
cbe8e8e2-987f-45c1-b59b-93b3e40fb5c0,0015166a9396bd4569636aeb99b719ed606ef161ca4cbd6642f4c6081a92bd3b,2025-12-17 06:04:28.755324+00,20251104074324_expenses,,,2025-12-17 06:04:28.645245+00,1
e6f09d8a-1938-4020-8abe-127af654c7c4,c72709fcb341423c26fe5b6d1ecdc148327788e716bc41385f423d734198b890,2025-12-17 06:04:28.841695+00,20251105200530_task_mgmt_table,,,2025-12-17 06:04:28.765295+00,1
f0fc2835-e38a-43d0-a76d-713155e18813,a3b7630f8afa026fbf7e6a2ab2ba635b953b5a11046beb961fb1e6d001083838,2025-12-17 06:04:29.602271+00,20251128095758_added_createdby_and_islead,,,2025-12-17 06:04:29.524463+00,1
ea7bdb6f-61a0-49a8-8362-43af4f6e9911,7a0dede41821d304c61d6b9649e495e0a9ab3e8d14edb4e63d681d514417e7e1,2025-12-17 06:04:29.118574+00,20251108151022_support_tickets,,,2025-12-17 06:04:28.852778+00,1
fac6014b-6dd8-4c52-accf-8171abc18197,c55dc86b0fd49baebfcfe7b16c85c16d80f6e2dc694f693ca7b943f1b9be247f,2025-12-17 06:04:29.172886+00,20251112110242_link_timesheets_to_expenses,,,2025-12-17 06:04:29.134658+00,1
93784132-92a6-4716-84ad-7f9d5fcbc266,1ce6e543db1c923cf584dc1930f1e64cbe8aec90fbf83e1e81f5550062a4543d,2025-12-18 10:35:05.104915+00,20251218103504_users_table_updated,,,2025-12-18 10:35:05.042618+00,1
f86f154b-a9d5-49a7-bbde-5b8ff669c183,ff900b6e4c4d2e3189920879cc1ecf78865d950ba0c9bb571468db51d3e54a81,2025-12-17 06:04:29.3055+00,20251113114938_add_expense_to_timesheets_for_expenseincluded,,,2025-12-17 06:04:29.206974+00,1
54a48a07-78f4-4ef4-9718-0b2cb0e8ea1c,12a1afb93078a732e9fa3fbb1517e493590f771dffe76d8ac2e95acfdf2419a7,2025-12-17 06:04:29.652933+00,20251204090813_add_client_reference_and_notes,,,2025-12-17 06:04:29.613114+00,1
652d4a62-7495-44df-b954-aab64b2b1c8a,a4ecad1974ef8c94d73e5df667a052851d900b6a32e75b0b8f7cefbdcea79342,2025-12-17 06:04:29.693296+00,20251204150649_add_external_reference_contact_fields,,,2025-12-17 06:04:29.665689+00,1
c3e0af02-301f-4580-90a5-0451518aa472,5f75ea9cc11f7f70c887b69f9b098999a9c15ca3e0a80cbd6d63b91d2047b496,2025-12-24 06:14:28.168116+00,20251224061427_add_task_assignments,,,2025-12-24 06:14:28.0313+00,1
455c4e8f-693c-4953-befa-d8765492297e,3a00fea226e48ad5637f2665250d12564a3972e58aa199abe7358d134be71040,2025-12-17 06:04:29.780917+00,20251205115534_org_chart_and_interactions,,,2025-12-17 06:04:29.703357+00,1
cff2c0ad-4ac8-4c71-894a-16debe545414,b5cd385710024a81179bbd94beff2522323fcb7f2b598521eebeea537a01b1fe,2025-12-18 20:07:43.287563+00,20251218200743_added_leave_balances_and_holidays_models,,,2025-12-18 20:07:43.204948+00,1
dbc0337e-489c-43ae-83d7-f1d95212c57d,d8cfc1a7ed7354c41ef2016e5a3c629b894fbd05e24032c8c11d87b7cc0a05c3,2025-12-17 06:04:29.827615+00,20251205130000_add_contact_crm_fields,,,2025-12-17 06:04:29.793581+00,1
4727a829-693e-432b-90d6-8e576cd51fd2,bb4bfb02064d7fe714661937959e2061d13c70f636ca25042677cd0b2a0358f6,2025-12-20 11:45:42.415841+00,20251220114542_added_invoiced_timesheets_junction_table,,,2025-12-20 11:45:42.295328+00,1
49b5a9e9-df0e-4495-9352-08087cbab680,58564c43f1eabc0cb5d030b477b1c06788bf18870825610d7921238b4a4c4b32,2025-12-26 12:01:37.954265+00,20251226120136_client_matter_codes_creation_requester_and_timesheets_hours_as_int,,,2025-12-26 12:01:37.256989+00,1
38446a0a-df2e-4235-8e62-8dbbb9b6e389,b2ed51e399fc30cec3ec234521c5cd3d7ac9a80b2fe04ec0af057b310310d69f,2025-12-22 11:49:50.069479+00,20251222114949_engagement_letter_and_conflict_checker_initial,,,2025-12-22 11:49:49.980234+00,1
8b84c06c-3308-4e22-ba29-8d896f92d457,3d49a91909660cc3fd9afbbd6e2e6f0c36924f40e5d0ac18229a282128bf9846,2025-12-24 07:32:54.534499+00,20251224073254_add_completed_by_to_task_assignments,,,2025-12-24 07:32:54.443537+00,1
1e2b60a4-302f-4161-bd8a-5c1ee77b56ec,f29fc57c7ac599c84747691816bde86da73df501743ecd00c7b75e0a6470ef05,2025-12-24 12:11:44.3033+00,20251224121144_make_client_matter_optional_in_tasks,,,2025-12-24 12:11:44.203593+00,1
e21cd046-69dd-4674-be3b-8f41a3d975bc,678b81564495ca4d5f747e287bd4feac9c97fc7f53b57b6d85f81f3119c9bdb7,2025-12-30 13:15:56.206757+00,20251230131556_make_billing_location,,,2025-12-30 13:15:56.138865+00,1
