permission_id,name,created_at,updated_at
1,um:read,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
2,um:create,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
3,um:update,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
4,um:delete,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
5,crm:read,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
6,crm:create,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
7,crm:update,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
8,crm:delete,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
9,mm:read,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
10,mm:create,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
11,mm:update,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
12,mm:delete,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
13,ts:read,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
14,ts:create,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
15,ts:update,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
16,ts:delete,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
17,bi:read,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
18,bi:create,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
19,bi:update,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
20,bi:delete,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
21,fm:read,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
22,fm:create,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
23,fm:update,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
24,fm:delete,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
25,tm:read,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
26,tm:create,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
27,tm:update,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
28,tm:delete,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
29,dm:read,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
30,dm:create,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
31,dm:update,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
32,dm:delete,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
33,cal:read,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
34,cal:create,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
35,cal:update,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
36,cal:delete,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
37,prof:read,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
38,prof:create,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
39,prof:update,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
40,prof:delete,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
41,st:read,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
42,st:create,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
43,st:update,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
44,st:delete,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
45,set:read,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
46,set:create,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
47,set:update,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
48,set:delete,2025-11-25 11:12:25.609,2025-11-25 11:12:25.609
