task_id,user_id,status,completed_at,created_at,updated_at,completed_by
14,3,completed,2026-01-02 06:53:05.477,2026-01-02 06:52:57.528,2026-01-02 06:53:05.477,3
15,3,completed,2026-01-02 06:54:15.432,2026-01-02 06:53:50.383,2026-01-02 06:54:15.432,3
16,3,todo,,2026-01-02 06:56:31.424,2026-01-02 06:57:07.881,
17,10,todo,,2026-01-03 06:41:46.053,2026-01-03 06:41:46.053,
10,10,completed,2025-12-24 10:20:47.917,2025-12-24 10:20:10.611,2025-12-24 10:20:47.917,10
4,10,completed,2025-12-24 09:44:15.544,2025-12-24 09:30:33.177,2025-12-24 09:44:15.544,10
6,10,completed,2025-12-24 09:51:39.671,2025-12-24 09:51:31.925,2025-12-24 09:51:39.671,10
7,10,completed,2025-12-24 09:54:23.962,2025-12-24 09:54:20.323,2025-12-24 09:54:23.962,10
13,14,todo,,2025-12-24 12:26:41.922,2025-12-24 12:26:41.922,
11,10,todo,,2025-12-24 10:36:58.893,2025-12-29 16:26:02.782,
11,9,todo,,2025-12-29 12:07:28.084,2025-12-29 16:26:02.782,
3,10,completed,2025-12-24 08:14:57.237,2025-12-24 08:12:03.008,2025-12-24 08:14:57.237,
12,14,completed,2025-12-24 12:27:16.602,2025-12-24 12:21:53.03,2025-12-24 12:27:16.602,
