notification_id,user_id,activity_id,is_read,read_at,created_at
86,3,92,f,,2025-12-31 09:17:00.832
20,10,19,t,2025-12-31 11:27:41.137,2025-12-23 09:48:02.945
29,10,27,t,2025-12-31 11:27:41.137,2025-12-24 05:36:09.716
30,10,28,t,2025-12-31 11:27:41.137,2025-12-24 06:36:35.461
42,10,42,t,2025-12-31 11:27:41.137,2025-12-24 08:12:03.205
47,10,47,t,2025-12-31 11:27:41.137,2025-12-24 09:30:33.359
55,10,57,t,2025-12-31 11:27:41.137,2025-12-24 09:51:32.057
56,10,59,t,2025-12-31 11:27:41.137,2025-12-24 09:54:20.448
72,10,77,t,2025-12-31 11:27:41.137,2025-12-24 10:20:10.769
76,10,81,t,2025-12-31 11:27:41.137,2025-12-24 10:36:59.052
83,10,89,t,2025-12-31 11:27:41.137,2025-12-29 16:25:54.064
84,10,90,t,2025-12-31 11:27:41.137,2025-12-29 16:26:02.849
12,3,12,t,2025-12-19 18:46:07.962,2025-12-19 11:49:58.394
87,3,94,f,,2026-01-02 06:52:57.644
88,3,96,f,,2026-01-02 06:53:50.42
89,3,101,f,,2026-01-02 06:56:31.47
90,3,109,f,,2026-01-02 07:12:09.262
92,3,110,f,,2026-01-02 15:05:24.535
91,10,109,t,2026-01-05 05:24:52.826,2026-01-02 07:12:09.262
93,10,111,t,2026-01-05 05:24:52.826,2026-01-03 06:41:46.276
82,9,88,f,,2025-12-29 12:07:28.313
